date,?,Desconhecido,Sim
,0,Abril,
,1,Maio,
,2,Junho,
,3,Julho,
,4,Agosto,
,5,Setembro,
,6,Outubro,
plant-stand,?,Desconhecido,Não
,0,Normal,
,1,lt-Normal,
precip,?,Desconhecido,Não
,0,lt-Normal,
,1,Normal,
,2,gt-Normal,
temp,?,Desconhecido,Não
,0,lt-norm,
,1,norm,
,2,gt-norm,
hail,?,Desconhecido,Não
,0,Yes,
,1,No,
crop-hist,?,Desconhecido,Sim
,0,diff-1st-year,
,1,same-1st-yr,
,2,same-lst-two-yrs,
,3,same-lst-sev-yrs,
area-damaged,?,Desconhecido,Sim
,0,scattered,
,1,low-areas,
,2,upper-areas,
,3,whole-field,
severity,?,Desconhecido,Sim
,0,Minor,
,1,pot-severe,
,2,severe,
seed-tmt,?,Desconhecido,Não
,0,none,
,1,fungicida,
,2,Outros,
germination,?,Desconhecido,Sim
,0,90-100%,
,1,"80-89%",
,2,lt-80%,
plant-growth,?,Desconhecido,Não
,0,Norm,
,1,Abnorm,
leaves,0,Norm,Não
,1,Abnorm,
leafspots-halo,?,Desconhecido,Não
,0,Absent,
,1,yellow-halos,
,2,no-yellow-halos,
leafspots-marg,?,Desconhecido,Não
,0,w-s-marg,
,1,no-w-s-marg,
,2,dna,
leafspot-size,?,Desconhecido,Não
,0,lt-1/8,
,1,gt-1/8,
,2,dna,
leaf-shread,?,Desconhecido,Não
,0,Absent,
,1,Present,
leaf-malf,?,Desconhecido,Não
,0,Absent,
,1,Present,
leaf-mild,?,Desconhecido,Não
,0,Absent,
,1,Upper-surf,
,2,Lower-surf,
stem,?,Desconhecido,Não
,0,Norm,
,1,Abnorm,
lodging,?,Desconhecido,Sim
,0,Yes,
,1,No,
stem-cankers,?,Desconhecido,Sim
,0,Absent,
,1,below-soil,
,2,Above-soil,
,3,Above-sec-nde,
canker-lesion,?,Desconhecido,Não
,0,dna,
,1,Brown,
,2,dk-brown-blk,
,3,tan,
fruiting-bodies,?,Desconhecido,Não
,0,Absent,
,1,Present,
"external decay",?,Desconhecido,Não
,0,Absent,
,1,firm-and-dry,
,2,watery,
mycelium,?,Desconhecido,Não
,0,Absent,
,1,Present,
int-discolor,?,Desconhecido,Não
,0,None,
,1,Brown,
,2,Black,
sclerotia,?,Desconhecido,Não
,0,Absent,
,1,Present,
fruit-pods,?,Desconhecido,Não
,0,Norm,
,1,Diseased,
,2,few-present,
,3,dna,
"fruit spots",?,Desconhecido,Não
,0,Absent,
,1,Colored,
,2,Brown-w/blk-specks,
,3,Distort,
,4,dna,
seed,?,Desconhecido,Não
,0,Norm,
,1,Abnorm,
mold-growth,?,Desconhecido,Não
,0,Absent,
,1,Present,
seed-discolor,?,Desconhecido,Não
,0,Absent,
,1,Present,
seed-size,?,Desconhecido,Não
,0,Norm,
,1,lt-norm,
shriveling,?,Desconhecido,Não
,0,Absent,
,1,Present,
roots,?,Desconhecido,Sim
,0,Norm,
,1,Rotted,
,2,galls-cysts,
